"","codprov","depto","coddepto","circuito","mesa","electores","blancos","nulos","0060","0064","0181","0185","0186","0188","0501","0505","0542","0543"
"142","23","Capital","001","0006 ","0142",334,3,3,2,28,18,2,6,1,28,13,12,139
"143","23","Capital","001","0006 ","0143",334,1,3,0,16,19,0,6,3,24,11,3,168
"144","23","Capital","001","0007 ","0144",332,2,4,4,13,22,3,6,1,34,11,2,151
"145","23","Capital","001","0007 ","0145",331,0,6,1,22,15,5,8,3,50,20,8,118
"146","23","Capital","001","0007 ","0146",331,2,1,2,15,31,9,8,0,51,0,12,99
"147","23","Capital","001","0007 ","0147",331,1,5,3,23,24,3,10,3,45,17,8,119
"148","23","Capital","001","0007 ","0148",331,8,5,1,15,31,1,4,3,44,15,5,109
"149","23","Capital","001","0007 ","0149",331,4,6,3,20,20,2,5,2,62,13,7,95
"150","23","Capital","001","0007 ","0150",332,5,6,3,12,32,1,7,4,50,21,6,113
"151","23","Capital","001","0007 ","0151",330,5,7,1,23,20,6,9,1,48,15,8,112
"152","23","Capital","001","0007 ","0152",332,3,7,0,19,19,3,8,1,51,20,5,112
"153","23","Capital","001","0007 ","0153",330,1,4,0,18,20,0,14,3,56,12,14,124
"154","23","Capital","001","0007 ","0154",330,4,2,2,22,29,8,10,0,43,10,11,106
"155","23","Capital","001","0007 ","0155",330,0,6,3,17,28,2,13,2,62,11,9,107
"156","23","Capital","001","0007 ","0156",330,2,5,2,23,18,5,8,1,63,14,13,104
"157","23","Capital","001","0007 ","0157",330,1,3,1,12,19,5,9,0,52,16,12,114
"158","23","Capital","001","0007 ","0158",330,1,3,2,9,19,0,3,5,63,13,7,118
"159","23","Capital","001","0007A","0159",349,1,6,1,15,32,3,7,1,46,13,10,112
"160","23","Capital","001","0007A","0160",350,5,6,0,13,26,3,9,1,74,16,7,117
"161","23","Capital","001","0007A","0161",349,78,7,3,25,29,3,8,1,61,23,9,102
"162","23","Capital","001","0007A","0162",349,5,2,8,18,27,6,17,0,53,19,5,117
"163","23","Capital","001","0007A","0163",349,4,4,3,16,26,2,10,0,47,17,7,124
"164","23","Capital","001","0007A","0164",349,2,4,3,17,34,7,8,0,54,15,7,124
"165","23","Capital","001","0007A","0165",349,3,10,1,21,16,5,10,2,47,19,11,120
"166","23","Capital","001","0007A","0166",349,5,5,2,20,32,4,11,0,46,16,9,123
"167","23","Capital","001","0007A","0167",348,3,5,1,24,36,2,9,2,57,12,6,121
"168","23","Capital","001","0007A","0168",351,6,6,0,10,28,2,8,1,55,23,6,121
"169","23","Capital","001","0007A","0169",350,6,4,3,30,32,2,9,1,60,19,5,102
"170","23","Capital","001","0007A","0170",349,4,4,0,14,22,4,3,4,47,16,11,132
"171","23","Capital","001","0007A","0171",348,4,7,2,9,33,1,3,1,53,12,16,123
"172","23","Capital","001","0007A","0172",350,2,6,0,12,43,3,10,3,56,8,6,119
"173","23","Capital","001","0007A","0173",348,4,6,5,14,17,2,10,3,62,21,12,101
"174","23","Capital","001","0007A","0174",348,4,2,0,13,15,5,5,1,65,15,16,123
"175","23","Capital","001","0007A","0175",350,2,5,5,22,20,3,9,1,58,16,11,118
"176","23","Capital","001","0007A","0176",349,3,4,2,23,23,6,10,1,66,22,6,106
"177","23","Capital","001","0007A","0177",348,3,6,1,18,31,3,10,1,47,15,9,121
"178","23","Capital","001","0008 ","0178",328,2,1,0,25,22,4,7,0,51,19,12,108
"179","23","Capital","001","0008 ","0179",328,1,8,0,14,10,1,7,1,39,19,8,133
"180","23","Capital","001","0008 ","0180",329,5,4,4,18,24,7,8,1,44,17,14,113
